ACCIDENT_NO,SUB_DCA_CODE,SUB_DCA_SEQ,SUB_DCA_CODE_DESC
T20220005705,N02,0,Mid-block
T20220005840,NRQ,0,Not Required
T20220005846,NRQ,0,Not Required
T20220006650,Q03,0,Fences (including gates)
T20220006969,I01,0,Private driveway/laneway
T20220007785,N02,0,Mid-block
T20220008674,V02,1,Kerb(roadside) mounted/struck
T20220008855,NRQ,0,Not Required
T20220008923,Z02,0,At entrance ramp/local road intersection
T20220009089,NRQ,0,Not Required
T20220009239,Q04,0,Embankments
T20220009453,Q02,0,Tree (shrub/scrub)
T20220010070,NRQ,0,Not Required
T20220010176,N01,1,Intersection
T20220010549,Q02,0,Tree (shrub/scrub)
T20220010638,V01,1,No vehicle mounted/struck
T20220010893,N02,0,Mid-block
T20220011275,N02,0,Mid-block
T20220011438,R01,0,Kerb parking - angle
T20220011866,H03,1,Vehicle foward departing
T20220011929,NRQ,0,Not Required
T20220011987,N02,0,Mid-block
T20220013681,S01,2,Collision on first half of carriageway
T20220013701,Z01,0,On freeway (between interchanges)
T20220013907,NRQ,0,Not Required
T20220013911,V01,1,No vehicle mounted/struck
T20220014142,Z01,1,On freeway (between interchanges)
T20220014573,B01,0,Vehicle going straight through
T20220015450,B01,1,Vehicle going straight through
T20220015463,Q01,0,Poles (telephone/electricity)
T20220015505,S03,2,On footpath
T20220015613,Z07,0,At exit ramp/local road intersection
T20220015727,NRQ,0,Not Required
T20220015977,H03,0,Vehicle foward departing
T20220016377,B01,0,Vehicle going straight through
T20220016395,NRQ,0,Not Required
T20220016413,A01,0,Vehicle entering intersection
T20220016552,N02,0,Mid-block
T20220016833,I01,1,Private driveway/laneway
T20220017203,N02,0,Mid-block
T20220017848,NRQ,0,Not Required
T20220018020,N02,0,Mid-block
T20220018586,L03,0,Road straight at mid-block
T20220018962,N01,1,Intersection
T20220020018,M01,0,Vehicle turning through medianopening
T20220020188,K02,0,Other separator
T20220020468,F03,0,Footpath unknown
T20220021201,W02,1,Leaves carriageway to right
T20220021224,V01,1,No vehicle mounted/struck
T20220021339,A01,0,Vehicle entering intersection
T20220021444,NRQ,0,Not Required
T20220021648,N01,1,Intersection
T20220021746,F04,0,Not on Footpath
T20220021762,Q32,0,Animals - Cattle
T20220022557,N02,0,Mid-block
T20220022624,N02,0,Mid-block
T20220022753,V01,1,No vehicle mounted/struck
T20220023197,V01,1,No vehicle mounted/struck
T20220023536,NRQ,0,Not Required
T20220023956,NRQ,0,Not Required
T20220024048,N02,0,Mid-block
T20220024158,N02,0,Mid-block
T20220024595,N02,0,Mid-block
T20220024926,F02,0,Paved footpath
T20220025099,C01,0,Pedestrian stepped off median strip
T20220025135,NRQ,0,Not Required
T20220025342,Q38,0,Animals - Other wild animal orbird
T20220025700,A03,0,Vehicle within intersection
T20220026056,I04,2,Commercial(includes shops/school/station) driveway
T20220026335,Q01,0,Poles (telephone/electricity)
T20220026600,NRQ,0,Not Required
T20220026605,NRQ,0,Not Required
T20220026976,Z06,1,On exit ramp
T20220027416,NRQ,0,Not Required
T20220027497,L01,1,Road straight at intersection
T20220027814,N02,0,Mid-block
T20220027872,W02,2,Leaves carriageway to right
T20220027884,S01,2,Collision on first half of carriageway
T20220028029,NRQ,0,Not Required
T20220028842,NRQ,0,Not Required
T20220028857,Q32,0,Animals - Cattle
T20220029227,NRQ,0,Not Required
T20220029380,B02,1,Vehicle turning right
T20220029574,N02,0,Mid-block
T20230000104,F02,0,Paved footpath
T20230001315,Q30,0,Protruding kerb
T20230001789,A01,0,Vehicle entering intersection
T20230001842,W01,2,Leaves carriageway to left
T20230001897,Q02,0,Tree (shrub/scrub)
T20230002962,N01,0,Intersection
T20230003228,NRQ,0,Not Required
T20230003339,R02,0,Kerb parking - parallel
T20230003771,NRQ,0,Not Required
T20230003849,L03,1,Road straight at mid-block
T20230004038,NRQ,0,Not Required
T20230004132,N02,0,Mid-block
T20230004132,Z01,1,On freeway (between interchanges)
T20230004161,A03,0,Vehicle within intersection
T20230004500,P02,0,Hit by veh fr dir opposite to initial dir of U-turning veh
T20230005093,V01,1,No vehicle mounted/struck
T20230005244,NRQ,0,Not Required
T20230005625,F01,0,No paved footpath
T20230006008,I04,0,Commercial(includes shops/school/station) driveway
T20230007017,NRQ,0,Not Required
T20230007169,NRQ,0,Not Required
T20230007265,V01,1,No vehicle mounted/struck
T20230007551,L04,0,Road curved at mid-block
T20230007767,Q02,0,Tree (shrub/scrub)
T20230009147,Z01,1,On freeway (between interchanges)
T20230009279,N02,0,Mid-block
T20230009598,NRQ,0,Not Required
T20230009764,N01,1,Intersection
T20230009907,P02,0,Hit by veh fr dir opposite to initial dir of U-turning veh
T20230010117,NRQ,0,Not Required
T20230010537,A01,0,Vehicle entering intersection
T20230010749,N01,1,Intersection
T20230010770,A01,0,Vehicle entering intersection
T20230011179,W01,2,Leaves carriageway to left
T20230011325,R02,0,Kerb parking - parallel
T20230011674,NRQ,0,Not Required
T20230011917,NRQ,0,Not Required
T20230012052,V02,1,Kerb(roadside) mounted/struck
T20230012202,Q07,0,Guard rail
T20230012596,NRQ,0,Not Required
T20230013390,B02,0,Vehicle turning right
T20230013658,Q01,0,Poles (telephone/electricity)
T20230013730,V01,1,No vehicle mounted/struck
T20230015183,V01,1,No vehicle mounted/struck
T20230015306,Z01,0,On freeway (between interchanges)
T20230015369,N02,0,Mid-block
T20230015660,N02,0,Mid-block
T20230016565,NRQ,0,Not Required
T20230016842,V01,1,No vehicle mounted/struck
T20230017119,NRQ,0,Not Required
T20230017517,B01,1,Vehicle going straight through
T20230017821,V01,1,No vehicle mounted/struck
T20230018469,Q07,0,Guard rail
T20230019030,NRQ,0,Not Required
T20230019277,Z02,1,At entrance ramp/local road intersection
T20230020052,NRQ,0,Not Required
T20230020402,V01,1,No vehicle mounted/struck
T20230020703,X02,0,Fell from vehicle
T20230020721,N02,0,Mid-block
T20230020975,NRQ,0,Not Required
T20230021043,NRQ,0,Not Required
T20230021055,A04,1,Vehicle in left turn slip lane
T20230021257,A01,0,Vehicle entering intersection
T20230021652,N02,0,Mid-block
T20230021885,Q07,0,Guard rail
T20230022044,NRQ,0,Not Required
T20230023318,I04,0,Commercial(includes shops/school/station) driveway
T20230024596,Q02,0,Tree (shrub/scrub)
T20230025187,V02,1,Kerb(roadside) mounted/struck
T20230025441,Q02,0,Tree (shrub/scrub)
T20230025442,A01,0,Vehicle entering intersection
T20230025596,A01,0,Vehicle entering intersection
T20230025912,Y01,0,Any vehicle (include trailer or parked car)
T20230025961,H03,0,Vehicle foward departing
T20230026276,I01,1,Private driveway/laneway
T20230026510,W01,2,Leaves carriageway to left
T20230026717,Z01,1,On freeway (between interchanges)
T20230026819,A01,0,Vehicle entering intersection
T20230027696,K02,0,Other separator
T20230027869,V01,0,No vehicle mounted/struck
T20230027913,NRQ,0,Not Required
T20230027932,B01,0,Vehicle going straight through
T20230028127,V01,1,No vehicle mounted/struck
T20230028350,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20230028670,V01,1,No vehicle mounted/struck
T20230029414,A01,0,Vehicle entering intersection
T20230029523,V01,1,No vehicle mounted/struck
T20230029584,Q02,0,Tree (shrub/scrub)
T20230029596,NRQ,0,Not Required
T20230029763,H03,0,Vehicle foward departing
T20230029940,N02,0,Mid-block
T20230030228,NRQ,0,Not Required
T20230030697,NRQ,0,Not Required
T20230030716,A01,0,Vehicle entering intersection
T20240000333,Z02,2,At entrance ramp/local road intersection
T20240000626,N02,0,Mid-block
T20240000714,Q02,0,Tree (shrub/scrub)
T20240000763,Z07,0,At exit ramp/local road intersection
T20240000770,L03,1,Road straight at mid-block
T20240000772,N01,1,Intersection
T20240000910,A03,0,Vehicle within intersection
T20240001035,A01,0,Vehicle entering intersection
T20240001073,B01,1,Vehicle going straight through
T20240001305,B01,1,Vehicle going straight through
T20240001367,A03,0,Vehicle within intersection
T20240001377,Z01,0,On freeway (between interchanges)
T20240001382,Q03,0,Fences (including gates)
T20240001432,NRQ,0,Not Required
T20240001785,E04,0,Pedestrian standing
T20240001902,I04,1,Commercial(includes shops/school/station) driveway
T20240002141,NRQ,0,Not Required
T20240002183,NRQ,0,Not Required
T20240002195,I01,1,Private driveway/laneway
T20240002532,B01,1,Vehicle going straight through
T20240002998,Z06,1,On exit ramp
T20240003388,NRQ,0,Not Required
T20240003520,R02,0,Kerb parking - parallel
T20240003553,Q01,0,Poles (telephone/electricity)
T20240003931,D01,2,Pedestrian emerged from behind car etc
T20240003969,NRQ,0,Not Required
T20240004137,N01,1,Intersection
T20240004170,NRQ,0,Not Required
T20240004690,M01,1,Vehicle turning through medianopening
T20240004760,Z01,0,On freeway (between interchanges)
T20240004989,I04,0,Commercial(includes shops/school/station) driveway
T20240005426,Q01,0,Poles (telephone/electricity)
T20240005762,A01,0,Vehicle entering intersection
T20240006197,B01,1,Vehicle going straight through
T20240006620,NRQ,0,Not Required
T20240006737,Q10,0,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20240006836,S03,2,On footpath
T20240007036,N02,0,Mid-block
T20240007221,X02,0,Fell from vehicle
T20240007335,R02,0,Kerb parking - parallel
T20240008290,R01,0,Kerb parking - angle
T20240008343,A01,0,Vehicle entering intersection
T20240008761,A03,0,Vehicle within intersection
T20240008791,I01,1,Private driveway/laneway
T20240008985,NRQ,0,Not Required
T20240009338,I04,1,Commercial(includes shops/school/station) driveway
T20240010030,NRQ,0,Not Required
T20240010159,V01,1,No vehicle mounted/struck
T20240010785,F02,0,Paved footpath
T20240010797,N01,1,Intersection
T20240010874,NRQ,0,Not Required
T20240011061,N02,0,Mid-block
T20240011419,NRQ,0,Not Required
T20240011865,A01,0,Vehicle entering intersection
T20240012159,Q03,0,Fences (including gates)
T20240012858,NRQ,0,Not Required
T20240013040,A03,0,Vehicle within intersection
T20240013261,N02,0,Mid-block
T20240013548,Q02,0,Tree (shrub/scrub)
T20240013680,A01,0,Vehicle entering intersection
T20240013761,C01,2,Pedestrian stepped off median strip
T20240014507,Q17,0,Traffic island
T20240014517,S01,2,Collision on first half of carriageway
T20240014885,L03,1,Road straight at mid-block
T20240015271,V02,1,Kerb(roadside) mounted/struck
T20240015742,P02,0,Hit by veh fr dir opposite to initial dir of U-turning veh
T20240015811,I06,1,Laneway
T20240015871,B01,0,Vehicle going straight through
T20240015918,N02,0,Mid-block
T20240016539,W01,2,Leaves carriageway to left
T20240016630,NRQ,0,Not Required
T20240016634,Q03,0,Fences (including gates)
T20240016754,K02,0,Other separator
T20240016803,A01,0,Vehicle entering intersection
T20240016893,V01,1,No vehicle mounted/struck
T20240017023,NRQ,0,Not Required
T20240018417,NRQ,0,Not Required
T20240018462,Q07,0,Guard rail
T20240018931,W01,2,Leaves carriageway to left
T20240019033,NRQ,0,Not Required
T20240019339,Z01,1,On freeway (between interchanges)
T20240020234,N01,1,Intersection
T20240021088,R02,0,Kerb parking - parallel
T20240021338,V02,1,Kerb(roadside) mounted/struck
T20240021873,NRQ,0,Not Required
T20240022383,R02,0,Kerb parking - parallel
T20240023054,V01,1,No vehicle mounted/struck
T20240023099,I01,0,Private driveway/laneway
T20240023589,B01,0,Vehicle going straight through
T20240023726,W01,2,Leaves carriageway to left
T20240023870,L03,1,Road straight at mid-block
T20240024093,V02,2,Kerb(roadside) mounted/struck
T20240024925,NRQ,0,Not Required
T20240025076,NRQ,0,Not Required
T20240025272,I04,1,Commercial(includes shops/school/station) driveway
T20240026611,NRQ,0,Not Required
T20240027068,N01,1,Intersection
T20240027129,NRQ,0,Not Required
T20240027524,NRQ,0,Not Required
T20240029490,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20240029710,I02,1,Hotel/motel/hostel driveway or laneway
T20240029852,S03,2,On footpath
T20240029893,V01,1,No vehicle mounted/struck
T20240030114,N02,0,Mid-block
T20240030298,W01,2,Leaves carriageway to left
T20240030537,N01,1,Intersection
T20240030840,A01,0,Vehicle entering intersection
T20240030928,N02,0,Mid-block
T20240031282,N01,2,Intersection
T20240031310,NRQ,0,Not Required
T20240031475,W02,3,Leaves carriageway to right
T20240031792,N02,0,Mid-block
T20240032383,R02,0,Kerb parking - parallel
T20240032609,A03,0,Vehicle within intersection
T20240033309,B01,0,Vehicle going straight through
T20240033576,P02,1,Hit by veh fr dir opposite to initial dir of U-turning veh
T20250000242,N01,1,Intersection
T20250001833,A02,0,Vehicle leaving intersection
T20250003030,S01,2,Collision on first half of carriageway
T20250003215,Q01,0,Poles (telephone/electricity)
T20250003280,NRQ,0,Not Required
T20250003307,NRQ,0,Not Required
T20250003369,H03,0,Vehicle foward departing
T20250003439,NRQ,0,Not Required
T20250003572,Q01,0,Poles (telephone/electricity)
T20250003629,N02,0,Mid-block
T20250003942,Z01,1,On freeway (between interchanges)
T20250004977,NRQ,0,Not Required
T20250004993,NRQ,0,Not Required
T20250005703,NRQ,0,Not Required
T20250008076,NRQ,0,Not Required
T20250004205,A03,0,Vehicle within intersection
T20250017857,N02,1,Mid-block
T20120000306,R02,1,Kerb parking - parallel
T20120000351,W01,2,Leaves carriageway to left
T20120000475,V02,1,Kerb(roadside) mounted/struck
T20120000874,NRQ,1,Not Required
T20120001050,I04,2,Commercial(includes shops/school/station) driveway
T20120001935,V02,1,Kerb(roadside) mounted/struck
T20120002629,Q01,2,Poles (telephone/electricity)
T20120002977,Q01,2,Poles (telephone/electricity)
T20120002998,V01,1,No vehicle mounted/struck
T20120003001,N01,1,Intersection
T20120003490,N02,1,Mid-block
T20120003550,A01,2,Vehicle entering intersection
T20120003931,NRQ,0,Not Required
T20120004738,W01,2,Leaves carriageway to left
T20120004818,Z06,3,On exit ramp
T20120004973,NRQ,1,Not Required
T20120005075,V01,1,No vehicle mounted/struck
T20120005268,V02,1,Kerb(roadside) mounted/struck
T20120005438,Z01,2,On freeway (between interchanges)
T20120005536,B02,2,Vehicle turning right
T20120006115,N02,1,Mid-block
T20120006799,I05,1,Not known
T20120007249,NRQ,1,Not Required
T20120007522,NRQ,1,Not Required
T20120007547,NRQ,1,Not Required
T20120007577,NRQ,1,Not Required
T20120007864,NRQ,1,Not Required
T20120007873,A01,2,Vehicle entering intersection
T20120008171,V01,1,No vehicle mounted/struck
T20120008771,N02,1,Mid-block
T20120008815,V01,1,No vehicle mounted/struck
T20120008879,A01,2,Vehicle entering intersection
T20120009123,NRQ,1,Not Required
T20120009183,Q07,2,Guard rail
T20120009214,A02,1,Vehicle leaving intersection
T20120009309,N02,1,Mid-block
T20120010002,N02,1,Mid-block
T20120010155,B02,1,Vehicle turning right
T20120010455,L03,1,Road straight at mid-block
T20120010811,NRQ,1,Not Required
T20120011142,W01,2,Leaves carriageway to left
T20120011438,NRQ,1,Not Required
T20120011544,NRQ,1,Not Required
T20120012075,V01,1,No vehicle mounted/struck
T20120012117,I01,1,Private driveway/laneway
T20120012270,I04,1,Commercial(includes shops/school/station) driveway
T20120012339,V02,1,Kerb(roadside) mounted/struck
T20120012424,A01,2,Vehicle entering intersection
T20120012554,I05,2,Not known
T20120012560,V01,1,No vehicle mounted/struck
T20120012567,NRQ,1,Not Required
T20120012689,Z01,3,On freeway (between interchanges)
T20120012694,NRQ,1,Not Required
T20120012822,A02,1,Vehicle leaving intersection
T20120012873,V02,1,Kerb(roadside) mounted/struck
T20120013311,NRQ,1,Not Required
T20120014330,A01,1,Vehicle entering intersection
T20120014804,NRQ,1,Not Required
T20120014881,V02,1,Kerb(roadside) mounted/struck
T20120015716,R02,1,Kerb parking - parallel
T20120015909,V02,1,Kerb(roadside) mounted/struck
T20120016285,V01,1,No vehicle mounted/struck
T20120016391,W01,2,Leaves carriageway to left
T20120016439,NRQ,1,Not Required
T20120016527,I01,3,Private driveway/laneway
T20120016595,NRQ,1,Not Required
T20120017104,V05,1,Median mounted/struck
T20120017248,Q02,2,Tree (shrub/scrub)
T20120017474,Q06,2,Traffic signs (No parking No standing etc)
T20120017881,Q02,2,Tree (shrub/scrub)
T20120018023,N01,1,Intersection
T20120019590,A01,2,Vehicle entering intersection
T20120020159,NRQ,1,Not Required
T20120020261,V02,1,Kerb(roadside) mounted/struck
T20120020329,A01,2,Vehicle entering intersection
T20120020529,Q02,2,Tree (shrub/scrub)
T20120020716,V01,1,No vehicle mounted/struck
T20120020780,NRQ,0,Not Required
T20120021003,N02,1,Mid-block
T20120021291,NRQ,1,Not Required
T20120021458,B01,2,Vehicle going straight through
T20120021690,NRQ,1,Not Required
T20120021863,I01,1,Private driveway/laneway
T20120021880,V01,1,No vehicle mounted/struck
T20120021903,A02,1,Vehicle leaving intersection
T20120022250,NRQ,1,Not Required
T20120022346,NRQ,1,Not Required
T20120022587,NRQ,1,Not Required
T20120023280,NRQ,1,Not Required
T20120023622,NRQ,1,Not Required
T20120024071,W01,2,Leaves carriageway to left
T20120024488,N01,1,Intersection
T20120024928,E04,0,Pedestrian standing
T20120024951,Y01,2,Any vehicle (include trailer or parked car)
T20120025014,V01,1,No vehicle mounted/struck
T20120025286,V01,1,No vehicle mounted/struck
T20120025882,L03,1,Road straight at mid-block
T20120026419,Q07,3,Guard rail
T20120026833,W01,2,Leaves carriageway to left
T20120026855,N01,1,Intersection
T20120026872,Q02,3,Tree (shrub/scrub)
T20120027383,NRQ,1,Not Required
T20120027403,D04,2,Pedestrian emerged from behindtram
T20120027715,NRQ,1,Not Required
T20120027843,Q31,1,Animals - Domestic (Cats and Dogs)
T20120027896,NRQ,1,Not Required
T20120027901,S03,3,On footpath
T20120028051,V01,1,No vehicle mounted/struck
T20120028158,Q01,1,Poles (telephone/electricity)
T20120028304,V01,1,No vehicle mounted/struck
T20120028377,V01,2,No vehicle mounted/struck
T20130000216,N02,1,Mid-block
T20130000425,N02,1,Mid-block
T20130001403,A01,1,Vehicle entering intersection
T20130001454,A02,2,Vehicle leaving intersection
T20130001831,N01,1,Intersection
T20130001877,W01,2,Leaves carriageway to left
T20130001934,V02,1,Kerb(roadside) mounted/struck
T20130002138,W01,3,Leaves carriageway to left
T20130002339,N02,1,Mid-block
T20130002415,W01,2,Leaves carriageway to left
T20130002618,NRQ,1,Not Required
T20130002677,N01,1,Intersection
T20130003037,N01,2,Intersection
T20130003126,A01,2,Vehicle entering intersection
T20130003156,W01,3,Leaves carriageway to left
T20130003205,NRQ,1,Not Required
T20130003590,NRQ,1,Not Required
T20130003748,Q02,1,Tree (shrub/scrub)
T20130003782,Q02,1,Tree (shrub/scrub)
T20130004149,V05,1,Median mounted/struck
T20130004222,I04,0,Commercial(includes shops/school/station) driveway
T20130004365,B01,2,Vehicle going straight through
T20130005712,V01,2,No vehicle mounted/struck
T20130005768,N02,1,Mid-block
T20130005968,Q07,2,Guard rail
T20130006618,NRQ,1,Not Required
T20130007040,F01,1,No paved footpath
T20130007482,NRQ,1,Not Required
T20130007643,Q01,1,Poles (telephone/electricity)
T20130007827,X01,1,Fell in vehicle
T20130007969,N01,2,Intersection
T20130008070,W02,3,Leaves carriageway to right
T20130008170,NRQ,0,Not Required
T20130008254,NRQ,1,Not Required
T20130008314,A03,1,Vehicle within intersection
T20130008330,V01,1,No vehicle mounted/struck
T20130008534,Z01,4,On freeway (between interchanges)
T20130008573,NRQ,1,Not Required
T20130008775,NRQ,1,Not Required
T20130008896,A01,1,Vehicle entering intersection
T20130009026,NRQ,1,Not Required
T20130009057,N01,2,Intersection
T20130009332,NRQ,1,Not Required
T20130010093,Z01,2,On freeway (between interchanges)
T20130010566,S01,3,Collision on first half of carriageway
T20130011087,W02,2,Leaves carriageway to right
T20130011400,I04,2,Commercial(includes shops/school/station) driveway
T20130011715,G03,1,Vehicle moving back - under control
T20130011722,NRQ,0,Not Required
T20130011812,NRQ,1,Not Required
T20130012153,N01,2,Intersection
T20130012183,W01,3,Leaves carriageway to left
T20130012397,V01,2,No vehicle mounted/struck
T20130012648,I05,2,Not known
T20130012974,V02,2,Kerb(roadside) mounted/struck
T20130013236,Q10,1,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20130013470,M01,1,Vehicle turning through medianopening
T20130013484,I01,1,Private driveway/laneway
T20130013786,V01,1,No vehicle mounted/struck
T20130014027,V02,2,Kerb(roadside) mounted/struck
T20130014147,N01,2,Intersection
T20130014171,N01,2,Intersection
T20130014280,Q03,0,Fences (including gates)
T20130014486,N01,2,Intersection
T20130015052,NRQ,1,Not Required
T20130015060,V01,2,No vehicle mounted/struck
T20130015851,A04,1,Vehicle in left turn slip lane
T20130016003,NRQ,1,Not Required
T20130016225,M01,1,Vehicle turning through medianopening
T20130016291,R02,1,Kerb parking - parallel
T20130016902,H04,1,Vehicle reverse departing
T20130016960,Q07,1,Guard rail
T20130017175,M01,1,Vehicle turning through medianopening
T20130017237,Z07,0,At exit ramp/local road intersection
T20130017499,L03,1,Road straight at mid-block
T20130017674,NRQ,1,Not Required
T20130017731,N02,1,Mid-block
T20130017861,N02,1,Mid-block
T20130017978,A01,1,Vehicle entering intersection
T20130018515,N01,2,Intersection
T20130018559,N01,2,Intersection
T20130019604,NRQ,1,Not Required
T20130019745,H03,0,Vehicle foward departing
T20130020276,A01,1,Vehicle entering intersection
T20130020303,N01,1,Intersection
T20130020442,NRQ,1,Not Required
T20130020559,B02,2,Vehicle turning right
T20130021332,NRQ,1,Not Required
T20130021525,N01,2,Intersection
T20130021768,W01,3,Leaves carriageway to left
T20130021822,Q02,1,Tree (shrub/scrub)
T20130021998,Q01,0,Poles (telephone/electricity)
T20130022020,N01,1,Intersection
T20130022575,V01,2,No vehicle mounted/struck
T20130022680,NRQ,1,Not Required
T20130022853,M01,1,Vehicle turning through medianopening
T20130023010,N01,1,Intersection
T20130023059,F04,1,Not on Footpath
T20130023114,V01,1,No vehicle mounted/struck
T20130023249,V05,1,Median mounted/struck
T20130023496,NRQ,0,Not Required
T20130023651,NRQ,1,Not Required
T20130023654,NRQ,1,Not Required
T20130023814,N01,2,Intersection
T20130023844,NRQ,0,Not Required
T20130023911,L01,1,Road straight at intersection
T20130024421,NRQ,1,Not Required
T20130024548,V02,2,Kerb(roadside) mounted/struck
T20130024572,Q03,1,Fences (including gates)
T20130024776,Z01,2,On freeway (between interchanges)
T20130024961,NRQ,1,Not Required
T20130025007,P02,1,Hit by veh fr dir opposite to initial dir of U-turning veh
T20130025534,V01,2,No vehicle mounted/struck
T20130026219,NRQ,1,Not Required
T20130026447,W02,3,Leaves carriageway to right
T20130026685,Q10,1,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20130026905,N02,1,Mid-block
T20130026935,NRQ,1,Not Required
T20140000481,M01,1,Vehicle turning through medianopening
T20140000542,V01,1,No vehicle mounted/struck
T20140000842,NRQ,1,Not Required
T20140000999,I01,2,Private driveway/laneway
T20140001586,NRQ,1,Not Required
T20140001866,Q02,1,Tree (shrub/scrub)
T20140001918,A01,1,Vehicle entering intersection
T20140002314,Q02,1,Tree (shrub/scrub)
T20140002750,A03,1,Vehicle within intersection
T20140002999,NRQ,1,Not Required
T20140003029,NRQ,1,Not Required
T20140003789,Q01,1,Poles (telephone/electricity)
T20140004296,N01,1,Intersection
T20140004399,NRQ,1,Not Required
T20140004883,V02,2,Kerb(roadside) mounted/struck
T20140004904,NRQ,1,Not Required
T20140004959,NRQ,0,Not Required
T20140005427,V01,2,No vehicle mounted/struck
T20140005537,NRQ,1,Not Required
T20140006627,NRQ,0,Not Required
T20140007129,N01,2,Intersection
T20140007143,NRQ,1,Not Required
T20140007350,N02,1,Mid-block
T20140008093,V01,2,No vehicle mounted/struck
T20140008324,NRQ,1,Not Required
T20140008463,NRQ,1,Not Required
T20140008544,A03,1,Vehicle within intersection
T20140008716,NRQ,1,Not Required
T20140008906,R02,1,Kerb parking - parallel
T20140009009,V01,1,No vehicle mounted/struck
T20140009207,NRQ,1,Not Required
T20140009275,D01,1,Pedestrian emerged from behind car etc
T20140009805,Q02,1,Tree (shrub/scrub)
T20140010192,N01,2,Intersection
T20140010316,Q01,0,Poles (telephone/electricity)
T20140010573,N02,0,Mid-block
T20140010674,V01,1,No vehicle mounted/struck
T20140011349,V01,1,No vehicle mounted/struck
T20140011379,B03,2,Vehicle turning left
T20140011659,NRQ,1,Not Required
T20140012095,NRQ,1,Not Required
T20140012360,A02,1,Vehicle leaving intersection
T20140013404,W01,3,Leaves carriageway to left
T20140013882,W02,1,Leaves carriageway to right
T20140013907,N01,1,Intersection
T20140014147,H03,1,Vehicle foward departing
T20140014311,Q06,2,Traffic signs (No parking No standing etc)
T20140014463,N01,1,Intersection
T20140014725,I04,1,Commercial(includes shops/school/station) driveway
T20140015033,L01,1,Road straight at intersection
T20140015298,N02,1,Mid-block
T20140015453,NRQ,1,Not Required
T20140015887,NRQ,1,Not Required
T20140015945,I04,3,Commercial(includes shops/school/station) driveway
T20140016264,Q38,1,Animals - Other wild animal orbird
T20140016735,Z09,2,At local rd I/S or M/B with RRP/RS spanning part of freeway
T20140016887,NRQ,1,Not Required
T20140016926,B02,2,Vehicle turning right
T20140017299,N02,1,Mid-block
T20140017324,B02,2,Vehicle turning right
T20140017333,A01,2,Vehicle entering intersection
T20140017534,Q04,1,Embankments
T20140017750,W01,2,Leaves carriageway to left
T20140017777,Q02,1,Tree (shrub/scrub)
T20140017946,NRQ,0,Not Required
T20140018018,NRQ,1,Not Required
T20140018339,W01,2,Leaves carriageway to left
T20140018497,X01,1,Fell in vehicle
T20140019038,N02,0,Mid-block
T20140019213,R02,1,Kerb parking - parallel
T20140019689,NRQ,0,Not Required
T20140019912,A04,0,Vehicle in left turn slip lane
T20140020546,V01,1,No vehicle mounted/struck
T20140020591,V01,1,No vehicle mounted/struck
T20140020637,A01,0,Vehicle entering intersection
T20140020824,R02,1,Kerb parking - parallel
T20140021049,B03,2,Vehicle turning left
T20140021374,N02,1,Mid-block
T20140021667,V01,2,No vehicle mounted/struck
T20140021886,N01,1,Intersection
T20140022326,V01,1,No vehicle mounted/struck
T20140022467,W01,2,Leaves carriageway to left
T20140022860,V01,1,No vehicle mounted/struck
T20140022977,Q01,0,Poles (telephone/electricity)
T20140023239,V01,0,No vehicle mounted/struck
T20140023970,N02,0,Mid-block
T20140024550,N01,1,Intersection
T20140024650,N02,0,Mid-block
T20140025354,Z05,2,At freeway/exit ramp (vehicle about to leave freeway)
T20140025366,V01,1,No vehicle mounted/struck
T20140025380,R02,0,Kerb parking - parallel
T20140025471,N02,0,Mid-block
T20140025483,S01,2,Collision on first half of carriageway
T20140025854,N02,0,Mid-block
T20140026044,H03,0,Vehicle foward departing
T20140026058,NRQ,0,Not Required
T20140026123,B02,0,Vehicle turning right
T20140026313,NRQ,0,Not Required
T20140026508,Q02,0,Tree (shrub/scrub)
T20140026608,N02,0,Mid-block
T20140026769,NRQ,0,Not Required
T20140026902,V01,1,No vehicle mounted/struck
T20140026942,V01,0,No vehicle mounted/struck
T20150000202,A03,0,Vehicle within intersection
T20150000271,N01,0,Intersection
T20150000526,NRQ,0,Not Required
T20150000674,V01,1,No vehicle mounted/struck
T20150000963,F02,0,Paved footpath
T20150001142,Q33,0,Animals - Sheep
T20150001315,NRQ,0,Not Required
T20150001565,F02,0,Paved footpath
T20150002067,V01,0,No vehicle mounted/struck
T20150002159,A01,0,Vehicle entering intersection
T20150002488,Z01,1,On freeway (between interchanges)
T20150002889,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20150003048,Z01,1,On freeway (between interchanges)
T20150003094,V01,1,No vehicle mounted/struck
T20150004501,NRQ,0,Not Required
T20150004942,W02,1,Leaves carriageway to right
T20150005257,NRQ,0,Not Required
T20150005312,A03,0,Vehicle within intersection
T20150005614,N01,1,Intersection
T20150005638,S01,2,Collision on first half of carriageway
T20150005842,M01,0,Vehicle turning through medianopening
T20150006342,NRQ,0,Not Required
T20150006489,V01,1,No vehicle mounted/struck
T20150006529,W02,2,Leaves carriageway to right
